Pfam	Header
PF00042	P01985|reviewed|Hemoglobin subunit alpha-A|taxID:8851
PF00042	P01986|reviewed|Hemoglobin subunit alpha-A|taxID:8839
PF00042	P01987|reviewed|Hemoglobin subunit alpha-A|taxID:8855
PF00042	P01988|reviewed|Hemoglobin subunit alpha-A|taxID:8840
PF00042	P01989|reviewed|Hemoglobin subunit alpha-A|taxID:8844
PF00042	P01990|reviewed|Hemoglobin subunit alpha-A|taxID:8846
PF00042	P01991|reviewed|Hemoglobin subunit alpha-A|taxID:8853
PF00042	P01992|reviewed|Hemoglobin subunit alpha-A|taxID:8869
PF00042	P01993|reviewed|Hemoglobin subunit alpha-A|taxID:8962
PF00042	P01994|reviewed|Hemoglobin subunit alpha-A|taxID:9031
PF00042	P01995|reviewed|Hemoglobin subunit alpha-A|taxID:9057
PF00042	P01996|reviewed|Hemoglobin subunit alpha-A|taxID:9226
PF00042	P01997|reviewed|Hemoglobin subunit alpha-A|taxID:9172
PF00042	P01998|reviewed|Hemoglobin subunit alpha|taxID:8501
PF00042	P01999|reviewed|Hemoglobin subunit alpha|taxID:8496
PF00042	P02000|reviewed|Hemoglobin subunit alpha|taxID:8499
PF00042	P02001|reviewed|Hemoglobin subunit alpha-D|taxID:9031
PF00042	P02002|reviewed|Hemoglobin subunit alpha-D|taxID:9057
PF00042	P02003|reviewed|Hemoglobin subunit alpha-D|taxID:8855
PF00042	P02004|reviewed|Hemoglobin subunit alpha-D|taxID:9172
PF00042	P02005|reviewed|Hemoglobin subunit alpha-D|taxID:8478
PF00042	P02006|reviewed|Hemoglobin subunit alpha-D|taxID:8463
PF00042	P02007|reviewed|Hemoglobin subunit pi|taxID:9031
PF00042	P02008|reviewed|Hemoglobin subunit zeta|taxID:9606
PF00042	P02009|reviewed|Hemoglobin subunit zeta|taxID:9823
PF00042	P02010|reviewed|Hemoglobin subunit alpha|taxID:8706
PF00042	P02011|reviewed|Hemoglobin subunit alpha-3|taxID:8400
PF00042	P02012|reviewed|Hemoglobin subunit alpha-1|taxID:8355
PF00042	P02013|reviewed|Hemoglobin subunit alpha-2|taxID:8355
PF00042	P02014|reviewed|Hemoglobin subunit alpha|taxID:8321
PF00042	P02015|reviewed|Hemoglobin subunit alpha|taxID:8296
PF00042	P02016|reviewed|Hemoglobin subunit alpha|taxID:7962
PF00042	P02017|reviewed|Hemoglobin subunit alpha|taxID:7970
PF00042	P02018|reviewed|Hemoglobin subunit alpha|taxID:7957
PF00042	P02019|reviewed|Hemoglobin subunit alpha-1|taxID:8022
PF00042	P02020|reviewed|Hemoglobin subunit alpha|taxID:7883
PF00042	P02021|reviewed|Hemoglobin subunit alpha|taxID:7793
PF00042	P02022|reviewed|Hemoglobin heart muscle subunit alpha-type|taxID:8400
PF00042	P02024|reviewed|Hemoglobin subunit beta|taxID:9595
PF00042	P02025|reviewed|Hemoglobin subunit beta|taxID:9580
PF00042	P02026|reviewed|Hemoglobin subunit beta|taxID:9544
PF00042	P02028|reviewed|Hemoglobin subunit beta|taxID:9534
PF00042	P02029|reviewed|Hemoglobin subunit beta|taxID:9565
PF00042	P02030|reviewed|Hemoglobin subunit beta|taxID:9556
PF00042	P02031|reviewed|Hemoglobin subunit beta|taxID:9531
PF00042	P02032|reviewed|Hemoglobin subunit beta|taxID:88029
PF00042	P02033|reviewed|Hemoglobin subunit beta|taxID:164648
PF00042	P02035|reviewed|Hemoglobin subunit beta|taxID:9505
PF00042	P02036|reviewed|Hemoglobin subunit beta|taxID:9521
PF00042	P02038|reviewed|Hemoglobin subunit beta|taxID:9488
PF00042	P02039|reviewed|Hemoglobin subunit beta|taxID:9487
PF00042	P02040|reviewed|Hemoglobin subunit beta|taxID:9514
PF00042	P02042|reviewed|Hemoglobin subunit delta|taxID:9606
PF00042	P02044|reviewed|Hemoglobin subunit delta|taxID:9509
PF00042	P02046|reviewed|Hemoglobin subunit delta|taxID:9505
PF00042	P02047|reviewed|Hemoglobin subunit delta|taxID:9521
PF00042	P02048|reviewed|Hemoglobin subunit beta|taxID:9468
PF00042	P02049|reviewed|Hemoglobin subunit beta|taxID:9470
PF00042	P02050|reviewed|Hemoglobin subunit beta-1/2|taxID:9463
PF00042	P02051|reviewed|Hemoglobin subunit beta|taxID:9477
PF00042	P02052|reviewed|Hemoglobin subunit beta|taxID:9395
PF00042	P02053|reviewed|Hemoglobin subunit beta|taxID:40322
PF00042	P02054|reviewed|Hemoglobin subunit beta|taxID:9447
PF00042	P02055|reviewed|Hemoglobin subunit beta|taxID:9662
PF00042	P02057|reviewed|Hemoglobin subunit beta-1/2|taxID:9986
PF00042	P02058|reviewed|Hemoglobin subunit beta|taxID:9407
PF00042	P02059|reviewed|Hemoglobin subunit beta|taxID:9365
PF00042	P02060|reviewed|Hemoglobin subunit beta|taxID:9378
PF00042	P02061|reviewed|Hemoglobin subunit beta|taxID:9375
PF00042	P02062|reviewed|Hemoglobin subunit beta|taxID:9796
PF00042	P02064|reviewed|Hemoglobin subunit beta-1|taxID:9801
PF00042	P02065|reviewed|Hemoglobin subunit beta-2|taxID:9801
PF00042	P02066|reviewed|Hemoglobin subunit beta|taxID:9807
PF00042	P02067|reviewed|Hemoglobin subunit beta|taxID:9823
PF00042	P02070|reviewed|Hemoglobin subunit beta|taxID:9913
PF00042	P02072|reviewed|Hemoglobin subunit beta|taxID:30521
PF00042	P02073|reviewed|Hemoglobin subunit beta|taxID:9853
PF00042	P02074|reviewed|Hemoglobin subunit beta-3|taxID:9875
PF00042	P02075|reviewed|Hemoglobin subunit beta|taxID:9940
PF00042	P02076|reviewed|Hemoglobin subunit beta|taxID:9938
PF00042	P02077|reviewed|Hemoglobin subunit beta-A|taxID:9925
PF00042	P02078|reviewed|Hemoglobin subunit beta-C|taxID:9925
PF00042	P02080|reviewed|Hemoglobin subunit beta-C(NA)|taxID:9899
PF00042	P02081|reviewed|Hemoglobin fetal subunit beta|taxID:9913
PF00042	P02082|reviewed|Hemoglobin fetal subunit beta|taxID:9925
PF00042	P02083|reviewed|Hemoglobin fetal subunit beta|taxID:9940
PF00042	P02084|reviewed|Hemoglobin subunit beta|taxID:9783
PF00042	P02085|reviewed|Hemoglobin subunit beta|taxID:9785
PF00042	P02086|reviewed|Hemoglobin subunit beta|taxID:9814
PF00042	P02087|reviewed|Hemoglobin subunit beta|taxID:9361
PF00042	P02088|reviewed|Hemoglobin subunit beta-1|taxID:10090
PF00042	P02089|reviewed|Hemoglobin subunit beta-2|taxID:10090
PF00042	P02090|reviewed|Hemoglobin subunit beta|taxID:30637
PF00042	P02091|reviewed|Hemoglobin subunit beta-1|taxID:10116
PF00042	P02092|reviewed|Hemoglobin subunit beta|taxID:10054
PF00042	P02093|reviewed|Hemoglobin subunit beta|taxID:10060
PF00042	P02094|reviewed|Hemoglobin subunit beta|taxID:10036
PF00042	P02095|reviewed|Hemoglobin subunit beta|taxID:10141
PF00042	P02097|reviewed|Hemoglobin subunit gamma|taxID:9545
PF00042	P02099|reviewed|Hemoglobin subunit gamma|taxID:9986
PF00042	P02100|reviewed|Hemoglobin subunit epsilon|taxID:9606
PF00042	P02101|reviewed|Hemoglobin subunit epsilon|taxID:9823
PF00042	P02102|reviewed|Hemoglobin subunit epsilon-1|taxID:9925
PF00042	P02103|reviewed|Hemoglobin subunit epsilon|taxID:9986
PF00042	P02104|reviewed|Hemoglobin subunit epsilon-Y2|taxID:10090
PF00042	P02105|reviewed|Hemoglobin subunit epsilon-2|taxID:9925
PF00042	P02106|reviewed|Hemoglobin subunit beta|taxID:9317
PF00042	P02107|reviewed|Hemoglobin subunit beta|taxID:9321
PF00042	P02108|reviewed|Hemoglobin subunit beta|taxID:9310
PF00042	P02109|reviewed|Hemoglobin subunit beta-M|taxID:9267
PF00042	P02110|reviewed|Hemoglobin subunit beta|taxID:49271
PF00042	P02111|reviewed|Hemoglobin subunit beta|taxID:9258
PF00042	P02112|reviewed|Hemoglobin subunit beta|taxID:9031
PF00042	P02113|reviewed|Hemoglobin subunit beta|taxID:9057
PF00042	P02114|reviewed|Hemoglobin subunit beta|taxID:8839
PF00042	P02115|reviewed|Hemoglobin subunit beta|taxID:8840
PF00042	P02116|reviewed|Hemoglobin subunit beta|taxID:9226
PF00042	P02117|reviewed|Hemoglobin subunit beta|taxID:8844
PF00042	P02118|reviewed|Hemoglobin subunit beta|taxID:8846
PF00042	P02120|reviewed|Hemoglobin subunit beta|taxID:8851
PF00042	P02121|reviewed|Hemoglobin subunit beta|taxID:9217
PF00042	P02122|reviewed|Hemoglobin subunit beta|taxID:8962
PF00042	P02123|reviewed|Hemoglobin subunit beta|taxID:8801
PF00042	P02124|reviewed|Hemoglobin subunit beta|taxID:8797
PF00042	P02125|reviewed|Hemoglobin subunit beta|taxID:8928
PF00042	P02126|reviewed|Hemoglobin subunit beta|taxID:9172
PF00042	P02127|reviewed|Hemoglobin subunit rho|taxID:9031
PF00042	P02128|reviewed|Hemoglobin subunit epsilon|taxID:9031
PF00042	P02129|reviewed|Hemoglobin subunit beta|taxID:8501
PF00042	P02130|reviewed|Hemoglobin subunit beta|taxID:8496
PF00042	P02131|reviewed|Hemoglobin subunit beta|taxID:8499
PF00042	P02132|reviewed|Hemoglobin subunit beta-1|taxID:8355
PF00042	P02133|reviewed|Hemoglobin subunit beta-2|taxID:8355
PF00042	P02134|reviewed|Hemoglobin subunit beta|taxID:45623
PF00042	P02135|reviewed|Hemoglobin subunit beta|taxID:8400
PF00042	P02136|reviewed|Hemoglobin subunit beta-3|taxID:8400
PF00042	P02137|reviewed|Hemoglobin larval subunit beta-1|taxID:8355
PF00042	P02138|reviewed|Hemoglobin subunit beta|taxID:7883
PF00042	P02139|reviewed|Hemoglobin subunit beta-A/B|taxID:7962
PF00042	P02140|reviewed|Hemoglobin subunit beta|taxID:7957
PF00042	P02141|reviewed|Hemoglobin subunit beta-4|taxID:8022
PF00042	P02142|reviewed|Hemoglobin subunit beta-1|taxID:8022
PF00042	P02143|reviewed|Hemoglobin subunit beta|taxID:7793
PF00042	P02144|reviewed|Myoglobin|taxID:9606
PF00042	P02145|reviewed|Myoglobin|taxID:9598
PF00042	P02147|reviewed|Myoglobin|taxID:499232
PF00042	P02148|reviewed|Myoglobin|taxID:9600
PF00042	P02150|reviewed|Myoglobin|taxID:9541
PF00042	P02151|reviewed|Myoglobin|taxID:9505
PF00042	P02152|reviewed|Myoglobin|taxID:9483
PF00042	P02153|reviewed|Myoglobin|taxID:9515
PF00042	P02154|reviewed|Myoglobin|taxID:9519
PF00042	P02155|reviewed|Myoglobin|taxID:9521
PF00042	P02156|reviewed|Myoglobin|taxID:9365
PF00042	P02157|reviewed|Myoglobin|taxID:9662
PF00042	P02159|reviewed|Myoglobin|taxID:9622
PF00042	P02160|reviewed|Myoglobin|taxID:9626
PF00042	P02161|reviewed|Myoglobin|taxID:9704
PF00042	P02163|reviewed|Myoglobin|taxID:9407
PF00042	P02164|reviewed|Myoglobin|taxID:9818
PF00042	P02165|reviewed|Myoglobin|taxID:9395
PF00042	P02166|reviewed|Myoglobin|taxID:9473
PF00042	P02167|reviewed|Myoglobin|taxID:9470
PF00042	P02168|reviewed|Myoglobin|taxID:9463
PF00042	P02169|reviewed|Myoglobin|taxID:9453
PF00042	P02170|reviewed|Myoglobin|taxID:9986
PF00042	P02171|reviewed|Myoglobin|taxID:9978
PF00042	P02173|reviewed|Myoglobin|taxID:9733
PF00042	P02174|reviewed|Myoglobin|taxID:9731
PF00042	P02177|reviewed|Myoglobin|taxID:9764
PF00042	P02178|reviewed|Myoglobin|taxID:9773
PF00042	P02179|reviewed|Myoglobin|taxID:9767
PF00042	P02180|reviewed|Myoglobin|taxID:9770
PF00042	P02181|reviewed|Myoglobin|taxID:9725
PF00042	P02182|reviewed|Myoglobin|taxID:9760
PF00042	P02183|reviewed|Myoglobin|taxID:9758
PF00042	P02184|reviewed|Myoglobin|taxID:9752
PF00042	P02185|reviewed|Myoglobin|taxID:9755
PF00042	P02186|reviewed|Myoglobin|taxID:9783
PF00042	P02187|reviewed|Myoglobin|taxID:9785
PF00042	P02189|reviewed|Myoglobin|taxID:9823
PF00042	P02190|reviewed|Myoglobin|taxID:9940
PF00042	P02191|reviewed|Myoglobin|taxID:9860
PF00042	P02192|reviewed|Myoglobin|taxID:9913
PF00042	P02193|reviewed|Myoglobin|taxID:9267
PF00042	P02194|reviewed|Myoglobin|taxID:9321
PF00042	P02195|reviewed|Myoglobin|taxID:49271
PF00042	P02196|reviewed|Myoglobin|taxID:9258
PF00042	P02197|reviewed|Myoglobin|taxID:9031
PF00042	P02199|reviewed|Myoglobin|taxID:9233
PF00042	P02200|reviewed|Myoglobin|taxID:8496
PF00042	P02201|reviewed|Myoglobin|taxID:8481
PF00042	P02202|reviewed|Myoglobin|taxID:8469
PF00042	P02203|reviewed|Myoglobin|taxID:8559
PF00042	P02204|reviewed|Myoglobin|taxID:7962
PF00042	P02205|reviewed|Myoglobin|taxID:8236
PF00042	P02206|reviewed|Myoglobin|taxID:7793
PF00042	P02207|reviewed|Globin|taxID:7748
PF00042	P02208|reviewed|Globin-5|taxID:7757
PF00042	P02209|reviewed|Globin-3|taxID:7769
PF00042	P02210|reviewed|Globin|taxID:6502
PF00042	P02211|reviewed|Globin|taxID:6501
PF00042	P02212|reviewed|Globin-1|taxID:148819
PF00042	P02213|reviewed|Globin-1|taxID:2784303
PF00042	P02214|reviewed|Globin|taxID:57622
PF00042	P02215|reviewed|Globin|taxID:6472
PF00042	P02216|reviewed|Globin, major monomeric component|taxID:6350
PF00042	P02218|reviewed|Extracellular globin-2|taxID:6398
PF00042	P02219|reviewed|Extracellular globin-1|taxID:3228785
PF00042	P02220|reviewed|Extracellular globin-2C|taxID:3228785
PF00042	P02221|reviewed|Globin CTT-I/CTT-IA|taxID:7155
PF00042	P02222|reviewed|Globin CTT-II beta|taxID:7155
PF00042	P02223|reviewed|Globin CTT-IX|taxID:7155
PF00042	P02224|reviewed|Globin CTT-VI|taxID:7155
PF00042	P02226|reviewed|Globin CTT-VIIA|taxID:7155
PF00042	P02227|reviewed|Globin CTT-VIII|taxID:7155
PF00042	P02228|reviewed|Globin CTT-X|taxID:7155
PF00042	P02229|reviewed|Globin CTT-III|taxID:7155
PF00042	P02230|reviewed|Globin CTT-IV|taxID:7155
PF00042	P02231|reviewed|Globin CTT-IIIA|taxID:7155
PF00042	P02232|reviewed|Leghemoglobin-1|taxID:3906
PF00042	P02233|reviewed|Leghemoglobin-1|taxID:3888
PF00042	P02234|reviewed|Leghemoglobin alpha|taxID:3885
PF00042	P02235|reviewed|Leghemoglobin 2|taxID:3847
PF00042	P02236|reviewed|Leghemoglobin 4|taxID:3847
PF00042	P02237|reviewed|Leghemoglobin 1|taxID:3847
PF00042	P02238|reviewed|Leghemoglobin 3|taxID:3847
PF00042	P02239|reviewed|Leghemoglobin-1|taxID:3873
PF00042	P02240|reviewed|Leghemoglobin-2|taxID:3873
PF00042	P04237|reviewed|Hemoglobin subunit alpha|taxID:9946
PF00042	P04238|reviewed|Hemoglobin subunit alpha-D|taxID:8844
PF00042	P04239|reviewed|Hemoglobin subunit alpha-D|taxID:8846
PF00042	P04240|reviewed|Hemoglobin subunit alpha-D|taxID:8853
PF00042	P04241|reviewed|Hemoglobin subunit alpha-D|taxID:8797
PF00042	P04242|reviewed|Hemoglobin subunit alpha-D|taxID:8801
PF00042	P04243|reviewed|Hemoglobin subunit pi|taxID:8855
PF00042	P04244|reviewed|Hemoglobin subunit beta|taxID:9692
PF00042	P04245|reviewed|Hemoglobin subunit beta|taxID:9946
PF00042	P04246|reviewed|Hemoglobin subunit theta|taxID:9823
PF00042	P04247|reviewed|Myoglobin|taxID:10090
PF00042	P04248|reviewed|Myoglobin|taxID:30637
PF00042	P04249|reviewed|Myoglobin|taxID:10163
PF00042	P04250|reviewed|Myoglobin|taxID:10154
PF00042	P04251|reviewed|Globin-1 subunit beta|taxID:6556
PF00042	P04252|reviewed|Bacterial hemoglobin|taxID:61
PF00042	P04346|reviewed|Hemoglobin subunit beta-A|taxID:9906
PF00042	P04442|reviewed|Hemoglobin subunit alpha-D|taxID:8839
PF00042	P04443|reviewed|Hemoglobin subunit beta-H0|taxID:10090
PF00042	P04444|reviewed|Hemoglobin subunit beta-H1|taxID:10090
PF00042	P06148|reviewed|Hemoglobin F-I|taxID:6431
PF00042	P06347|reviewed|Hemoglobin subunit zeta|taxID:9598
PF00042	P06467|reviewed|Hemoglobin subunit zeta|taxID:10090
PF00042	P06635|reviewed|Hemoglobin subunit alpha|taxID:9600
PF00042	P06636|reviewed|Hemoglobin subunit alpha-3|taxID:8355
PF00042	P06637|reviewed|Hemoglobin subunit alpha-4|taxID:8355
PF00042	P06638|reviewed|Hemoglobin subunit alpha-5|taxID:8355
PF00042	P06639|reviewed|Hemoglobin subunit alpha-1|taxID:8319
PF00042	P06640|reviewed|Hemoglobin subunit alpha-2|taxID:8319
PF00042	P06642|reviewed|Hemoglobin subunit epsilon-2|taxID:9913
PF00042	P06643|reviewed|Hemoglobin subunit epsilon-4|taxID:9913
PF00042	P06714|reviewed|Hemoglobin subunit theta-1|taxID:9796
PF00042	P06890|reviewed|Hemoglobin subunit theta-1|taxID:9600
PF00042	P07034|reviewed|Hemoglobin subunit alpha-A|taxID:8860
PF00042	P07035|reviewed|Hemoglobin subunit alpha-D|taxID:8860
PF00042	P07036|reviewed|Hemoglobin subunit beta|taxID:8860
PF00042	P07402|reviewed|Hemoglobin subunit alpha-1/2|taxID:9553
PF00042	P07403|reviewed|Hemoglobin subunit alpha|taxID:99861
PF00042	P07404|reviewed|Hemoglobin subunit alpha-A|taxID:8924
PF00042	P07405|reviewed|Hemoglobin subunit alpha|taxID:9685
